time,X_RIGHT_INDEX,Y_RIGHT_INDEX,Z_RIGHT_INDEX,env,Z_RIGHT_INDEXlowpass10,Z_RIGHT_INDEXlowpass30,Z_RIGHT_INDEXguassianfilt,speed,vertical_velocity,acceleration,jerk,gesture_type,gesture_ID
62770.0,-0.11046234900372282,-0.06929685733551096,-0.1965403030106574,0.004320189,-0.19648726471525402,-0.196264735047311,-0.19614311897865894,-0.07146516923494074,0.4377185987198227,-0.12957697243897046,0.388144552275336,REP,GID_17
62780.0,-0.11089104977385009,-0.06828801201803215,-0.19394671548357997,0.003207502,-0.1947828672087748,-0.19403497770468928,-0.1945442286249522,-0.07186963952973324,0.2905542610187015,-0.1077172841393183,0.1190522506516265,REP,GID_17
62790.0,-0.11174979925142342,-0.06779533406280415,-0.19151336683832046,0.002374501,-0.1934268622669739,-0.19188979100798836,-0.19333521796233916,-0.14210207002729572,0.1480039236167964,-0.24694097633395953,-0.06376733447685613,REP,GID_17
62800.0,-0.11281790705265998,-0.06772196116634724,-0.19023254851229487,0.001801608,-0.19278763561210166,-0.18990481651010344,-0.19287429503401698,-0.24199162867557863,0.01557684069214815,-0.23888903810681422,0.12560345331894432,REP,GID_17
62810.0,-0.11393659666725275,-0.06813107796959808,-0.19089236293704262,0.001437573,-0.19334089167395713,-0.19094524326108264,-0.19339300058393724,-0.24090584021602762,-0.1182483899781764,0.08263173325795356,0.4983429025145563,REP,GID_17
62820.0,-0.11495265460338788,-0.06906999722452212,-0.1932122755838656,0.001234634,-0.19492714430305527,-0.19374555778161615,-0.1948757036116161,-0.09068776217488281,-0.25280085710878614,0.5137103266809382,0.60202907607974,REP,GID_17
62830.0,-0.11578851617521951,-0.07045412443963583,-0.19637509171006348,0.001231358,-0.19708988265736532,-0.19621181734894155,-0.19707009480772808,0.10308803416684482,-0.36320662614464627,0.6709879517597324,0.2023997473138254,REP,GID_17
62840.0,-0.11639165530295711,-0.07205311265270661,-0.19989050931610355,0.00153178,-0.19960444883323494,-0.1998038714910351,-0.19958357309628744,0.20282038396521238,-0.42039514576311515,0.3769645881287063,-0.4642768307817088,REP,GID_17
62850.0,-0.11664240974140175,-0.07359365960489529,-0.2032546974647112,0.002236809,-0.20202927438305865,-0.20331671995888004,-0.20198437510158365,0.1497197746988782,-0.4167116341131561,-0.1902552086658315,-0.9015432068759781,REP,GID_17
62860.0,-0.11644108402612893,-0.07494453329220264,-0.2058272628723675,0.003421077,-0.203915915295411,-0.2055794859462744,-0.2038866164381655,-0.027569929925217795,-0.3680635554730543,-0.6652031569258642,-0.777704614593005,REP,GID_17
62870.0,-0.11584639744718518,-0.07604304438790194,-0.20714283792087945,0.005121045,-0.20505301068180745,-0.20719830393548339,-0.20502927494847678,-0.2317047484127949,-0.2956512849116719,-0.7578676220999397,-0.17022203533812097,REP,GID_17
62880.0,-0.11503512084122969,-0.07681501814856014,-0.20705714149322652,0.007330002,-0.20527685785279462,-0.2070294801148327,-0.20533111175353752,-0.3430243177056681,-0.21092247150471974,-0.42805903444857635,0.5233057940643143,REP,GID_17
62890.0,-0.1139818586333802,-0.07724974820314544,-0.2059472023287635,0.01000099,-0.20473965795761717,-0.2056686377040019,-0.20488555401274677,-0.3056741065133319,-0.11259189626835056,0.10473082354047489,0.8789819601988854,REP,GID_17
62900.0,-0.11234599423475206,-0.07729347552391098,-0.20442259616080605,0.01304908,-0.20375754576849672,-0.20442097976097456,-0.20389104206919065,-0.16432519205442758,0.00592169753611397,0.5199744862453758,0.7143175026077803,REP,GID_17
